7.2515  0.0000E+00  2.9255E-01  8.9469E-01  3.1784E+00  1.1125E+01  2.0855E+01  5.0620E+01  8.5580E+01  8.7337E+01  8.7337E+01
8.7178  0.0000E+00  3.2424E-01  9.9167E-01  3.5197E+00  1.2300E+01  2.3152E+01  5.8949E+01  8.7337E+01  8.7337E+01  8.7337E+01
10.4807  0.0000E+00  3.5864E-01  1.0965E+00  3.8948E+00  1.3719E+01  2.6335E+01  7.3300E+01  8.7337E+01  8.7337E+01  8.7337E+01
12.6000  0.0000E+00  3.9938E-01  1.2211E+00  4.3564E+00  1.5709E+01  3.1287E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
15.1479  0.0000E+00  4.5809E-01  1.4067E+00  5.0802E+00  1.9178E+01  4.0245E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
18.2110  0.0000E+00  5.5190E-01  1.7059E+00  6.2732E+00  2.4962E+01  5.4794E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
21.8935  0.0000E+00  7.1311E-01  2.2131E+00  8.2903E+00  3.4423E+01  7.7552E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
26.3206  0.0000E+00  9.7730E-01  3.0431E+00  1.1536E+01  4.8996E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
31.6430  0.0000E+00  1.3669E+00  4.3086E+00  1.6220E+01  6.9006E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
38.0416  0.0000E+00  1.9166E+00  6.0543E+00  2.2937E+01  8.6316E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
45.7341  0.0000E+00  2.6725E+00  8.3239E+00  3.1465E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
54.9821  0.0000E+00  3.5892E+00  1.1149E+01  4.1805E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
66.1001  0.0000E+00  4.6588E+00  1.4482E+01  5.3585E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
79.4664  0.0000E+00  5.8510E+00  1.8120E+01  6.6187E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
95.5354  0.0000E+00  7.0732E+00  2.1981E+01  7.9008E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
114.8539  0.0000E+00  8.2954E+00  2.5842E+01  9.1830E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
138.0788  0.0000E+00  9.5176E+00  2.9703E+01  1.0465E+02  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
166.0000  0.0000E+00  1.0740E+01  3.3564E+01  1.1747E+02  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
