10.4807  0.0  3.4018E-01  1.0560E+00  3.9376E+00  1.7508E+01  4.6511E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
12.6000  0.0  4.2699E-01  1.3389E+00  5.1991E+00  2.5392E+01  7.1202E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
15.1479  0.0  6.0037E-01  1.8773E+00  7.4468E+00  3.8811E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
18.2110  0.0  8.6936E-01  2.8083E+00  1.1408E+01  6.0558E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
21.8935  0.0  1.3797E+00  4.3346E+00  1.7808E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
26.3206  0.0  2.1789E+00  6.9282E+00  2.7971E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
31.6430  0.0  3.3145E+00  1.0524E+01  4.2589E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
38.0416  0.0  5.0549E+00  1.5871E+01  6.2640E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
45.7341  0.0  7.1293E+00  2.2656E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
54.9821  0.0  9.9177E+00  3.0830E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
66.1001  0.0  1.2951E+01  4.0346E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
79.4664  0.0  1.6040E+01  4.9687E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
95.5354  0.0  1.9128E+01  5.8970E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
114.8539  0.0  2.1496E+01  6.6880E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
138.0788  0.0  2.3799E+01  7.4855E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
166.0000  0.0  2.6102E+01  8.2831E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01  8.7337E+01
